Trial,SOA,Target,Response,Accuracy,randomGator
102,0,br,tr,0,Shantungosuchus_brachycephalus
103,90,tl,tl,1,Shantungosuchus_brachycephalus
104,120,bl,tl,0,Shantungosuchus_brachycephalus
105,120,tr,bl,0,Shantungosuchus_brachycephalus
106,120,tr,br,0,Shantungosuchus_brachycephalus
107,0,tr,br,0,Shantungosuchus_brachycephalus
108,90,br,tr,0,Shantungosuchus_brachycephalus
109,180,tr,tl,0,Shantungosuchus_brachycephalus
110,90,tl,br,0,Shantungosuchus_brachycephalus
111,90,tr,tl,0,Shantungosuchus_brachycephalus
112,180,bl,bl,1,Shantungosuchus_brachycephalus
113,90,tl,br,0,Shantungosuchus_brachycephalus
114,180,bl,tl,0,Shantungosuchus_brachycephalus
115,30,bl,bl,1,Shantungosuchus_brachycephalus
116,30,bl,tr,0,Shantungosuchus_brachycephalus
117,90,bl,tl,0,Shantungosuchus_brachycephalus
118,180,tl,bl,0,Shantungosuchus_brachycephalus
119,30,br,br,1,Shantungosuchus_brachycephalus
120,60,br,tl,0,Shantungosuchus_brachycephalus
121,60,tl,bl,0,Shantungosuchus_brachycephalus
122,120,bl,bl,1,Shantungosuchus_brachycephalus
123,30,br,br,1,Shantungosuchus_brachycephalus
124,120,br,br,1,Shantungosuchus_brachycephalus
125,90,tr,bl,0,Shantungosuchus_brachycephalus
126,0,tr,tr,1,Shantungosuchus_brachycephalus
127,60,tr,br,0,Shantungosuchus_brachycephalus
128,180,tr,tr,1,Shantungosuchus_brachycephalus
129,60,tl,tl,1,Shantungosuchus_brachycephalus
130,180,bl,bl,1,Shantungosuchus_brachycephalus
131,60,tr,br,0,Shantungosuchus_brachycephalus
132,150,tl,br,0,Shantungosuchus_brachycephalus
133,60,tr,bl,0,Shantungosuchus_brachycephalus
134,0,br,br,1,Shantungosuchus_brachycephalus
135,180,bl,bl,1,Shantungosuchus_brachycephalus
136,60,tl,tl,1,Shantungosuchus_brachycephalus
137,180,tl,tl,1,Shantungosuchus_brachycephalus
138,180,tr,tl,0,Shantungosuchus_brachycephalus
